LEAID,LEA_NAME,FTE_TEACHERS_FIN,TEACH_AMOUNT,AVG_TEACH_SALARY,Incomplete,SCHID,SCH_NAME,SCH_ADDRESS,SCH_CITY,SCH_STATE,SCH_ZIP 
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,33,2656236,80492,,99994,LANGLEY EC,101 T ST NE,WASHINGTON,DC,20002
1100054,APPLETREE EARLY LEARNING PCS,4,188601,47150,,99997,APPLETREE EARLY LEARNING PCS LINCOLN PARK,138 12TH ST NE,WASHINGTON,DC,20002
Subtotal,,,," $1,807,672.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,35.5,2924504,82380,,48,WATKINS ES (CAPITOL HILL CLUSTER),420 12TH ST  SE,WASHINGTON,DC,20003
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,37,2714259,73358,,72,TYLER ES,1001 G ST  SE,WASHINGTON,DC,20003
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,23,1606399,69843,,78,EASTERN SHS,1700 EAST CAPITOL ST NE,WASHINGTON,DC,20003
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,24,1743077,72628,,113,BRENT ES,301 NORTH CAROLINA AVE  SE,WASHINGTON,DC,20003
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,19.25,1615771,83936,,157,PAYNE ES,1445 C ST SE,WASHINGTON,DC,20003
1100008,FRIENDSHIP PCS,46,2732148,59395,,222,FRIENDSHIP PCS CHAMBERLAIN,1345 POTOMAC AVENUE SE,WASHINGTON,DC,20003
1100049,EAGLE ACADEMY PCS,29,2013687,69437,,278,EAGLE ACADEMY PCS  M STREET CAMPUS,770 M STREET SE,WASHINGTON,DC,20003
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,15,1301245,86750,,296,YOUTH SERVICES CENTER,1000 MT OLIVET RD NE,WASHINGTON,DC,20003
1100064,ST. COLETTA SPECIAL EDUCATION PCS,25,1422091,56884,,367,ST  COLETTA SPECIAL EDUCATION PCS,1901 INDEPENDENCE AVE SE,WASHINGTON,DC,20003
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9,783137,87015,,385,INCARCERATED YOUTH PROGRAM,1901 D STREET SE,WASHINGTON,DC,20003
1100073,CENTER CITY PCS,27,1607160,59524,,393,CENTER CITY CAPITOL HILL CAMPUS PCS,1503 EAST CAPITOL STREET SE,WASHINGTON,DC,20003
1100049,EAGLE ACADEMY PCS,10,571130,57113,,434,EAGLE ACADEMY PCS NEW JERSEY AVENUE CAMPUS,1017 NEW JERSEY AVENUE SE,WASHINGTON,DC,20003
9999037,RICHARD WRIGHT PUBLIC CHARTER SCHOOL OF JOURNALISM AND MEDIA ARTS,46488,46000,1,,99999,RICHARD WRIGHT PUBLIC CHARTER SCHOOL OF JOURNALISM AND MEDIA ARTS,"770 M Street, SE, 2nd Floor",Washington,DC,20003
Subtotal,,,," $858,264.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,36,2672928,74248,,76,THOMSON ES,1200 L ST  NW,WASHINGTON,DC,20005
1100007,COMMUNITY ACADEMY PCS,25,1201788,48072,,370,COMMUNITY ACADEMY PCS - BUTLER CAMPUS,"5 Thomas Circle, NW",WASHINGTON,DC,20005
Subtotal,,,," $122,320.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,11.25,1003426,89193,,16,ELLINGTON SCHOOL OF THE ARTS,3500 R ST NW,WASHINGTON,DC,20007
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,25,2092903,83716,,50,STODDERT ES,4001 CALVERT ST  NW,WASHINGTON,DC,20007
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,21,1505024,71668,,180,HYDE-ADDISON ES,3219 O ST NW,WASHINGTON,DC,20007
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,31.5,2489099,79019,,186,HARDY MS,1819 35TH ST  NW,WASHINGTON,DC,20007
Subtotal,,,," $323,596.00 ",,,,,,,
,,,,,,,,,,,
