LEA_STATE,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,FTE_ABSENT,Incomplete
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,34,MAURY ES,1.10E+11,,9,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,35,MANN ES,1.10E+11,,9.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,36,MALCOLM X ES,1.10E+11,,2,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,37,LUDLOW-TAYLOR ES,1.10E+11,,14,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,41,LECKIE ES,1.10E+11,,18,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,42,LASALLE-BACKUS EC,1.10E+11,,11.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,44,LANGDON EC,1.10E+11,,18,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,45,LAFAYETTE ES,1.10E+11,,19,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,48,WATKINS ES (CAPITOL HILL CLUSTER),1.10E+11,,22.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,49,THOMAS ES,1.10E+11,,11.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,50,STODDERT ES,1.10E+11,,14,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,54,SIMON ES,1.10E+11,,9,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,55,"WOODSON, H.D. HS",1.10E+11,,19,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,61,WINSTON EC,1.10E+11,,7,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,62,"WILSON, J.O. ES",1.10E+11,,17,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,64,SMOTHERS ES,1.10E+11,,5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,65,WHITTIER EC,1.10E+11,,13,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,67,WEST EC,1.10E+11,,13,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,68,WHEATLEY EC,1.10E+11,,18,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,69,FEREBEE-HOPE ES,1.10E+11,,14,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,70,WALKER-JONES EC,1.10E+11,,15,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,72,TYLER ES,1.10E+11,,14,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,73,TURNER ES AT GREEN,1.10E+11,,12,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,74,TUBMAN ES,1.10E+11,,22,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,75,TRUESDELL EC,1.10E+11,,17,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,76,THOMSON ES,1.10E+11,,15,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,78,EASTERN SHS,1.10E+11,,12,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,79,DUNBAR SHS,1.10E+11,,21,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,81,COOLIDGE SHS,1.10E+11,,18,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,82,CARDOZO SHS @ MEYER,1.10E+11,,20,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,84,BALLOU SHS,1.10E+11,,46,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,85,ANACOSTIA SHS,1.10E+11,,26,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,89,SHARPE HEALTH SCHOOL,1.10E+11,,13,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,90,MAMIE D. LEE SCHOOL,1.10E+11,,12,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,92,PROSPECT LC,1.10E+11,,9.25,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,96,EATON ES,1.10E+11,,10,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,97,DREW ES,1.10E+11,,8,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,99,DAVIS ES,1.10E+11,,5.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,100,H.D. COOKE ES,1.10E+11,,11,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,102,"KING, M.L. ES",1.10E+11,,13,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,103,CLEVELAND ES,1.10E+11,,11,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,106,BURRVILLE ES,1.10E+11,,15,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,107,BURROUGHS EC,1.10E+11,,14,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,110,BRUCE-MONROE ES @ PARK VIEW,1.10E+11,,16,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,111,BROOKLAND EC @ BUNKER HILL,1.10E+11,,20,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,112,BRIGHTWOOD EC,1.10E+11,,23,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,113,BRENT ES,1.10E+11,,12,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,118,BEERS ES,1.10E+11,,14,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,119,BARNARD ES (LINCOLN HILL),1.10E+11,,13,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,120,BANCROFT ES,1.10E+11,,13,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,121,AMIDON-BOWEN ES,1.10E+11,,6,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,122,AITON ES,1.10E+11,,8,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,125,POWELL ES,1.10E+11,,12,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,126,PLUMMER ES,1.10E+11,,8,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,130,SPINGARN SHS,1.10E+11,,13,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,131,SCHOOL WITHOUT WALLS SHS,1.10E+11,,22,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,133,"WILSON, WOODROW HS",1.10E+11,,53.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,135,HART MS,1.10E+11,,14,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,138,DEAL MS,1.10E+11,,28.5,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,141,MACFARLAND MS,1.10E+11,,9.25,
DC,1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,143,KRAMER MS,1.10E+11,,7,
